surgir	:	arise[a'rais]	arose[a'rous]	arisen[a'risn]
ser	:	be[bi]	was[wuas]/were[wer]	been[bin]
golpear	:	beat[bit]	beat[bit]	beaten[bitn]
convertirse, llegar a ser	:	become[bi'kam]	became[bi'keim]	become[bi'kam]
comenzar	:	begin[bi'gin]	began[bi'gan]	begun[bi'gan]
apostar	:	bet[bet]	bet[bet]	bet[bet]
morder	:	bite[bait]	bit[bit]	bitten[bitn]
sangrar	:	bleed[blid]	bled[bled]	bled[bled]
soplar	:	blow[blou]	blew[blu]	blown[bloun]
romper	:	break[breik]	broke[brouk]	broken[broukn]
traer	:	bring[bring]	brought[brot]	brought[brot]
construir	:	build[bild]	built[bilt]	built[bilt]
comprar	:	buy[bai]	bought[bot]	bought[bot]
atrapar	:	catch[katch]	caught[kot]	caught[kot]
elegir	:	choose[chus]	chose[chous]	chosen[chousn]
venir	:	come[kam]	came[keim]	come[kam]
costar	:	cost[kost]	cost[kost]	cost[kost]
arrastrarse	:	creep[krip]	crept[krept]	crept[krept]
cortar	:	cut[kat]	cut[kat]	cut[kat]
tratar	:	deal[dil]	dealt[delt]	dealt[delt]
hacer	:	do[du]	did[did]	done[don]
dibujar	:	draw[dro]	drew[dru]	drawn[dron]
soñar	:	dream[driim]	dreamt[dremt]	dreamt[dremt]
beber	:	drink[drink]	drank[drank]	drunk[draank]
conducir	:	drive[draiv]	drove[drouv]	driven[drivn]
comer	:	eat[iit]	ate[eit]	eaten[iitn]
caer	:	fall[fol]	fell[fel]	fallen[folen]
alimentar	:	feed[fiid]	fed[fed]	fed[fed]
sentir	:	feel[fiil]	felt[felt]	felt[felt]
pelear	:	fight[fait]	fought[fot]	fought[fot]
encontrar	:	find[faind]	found[faund]	found[faund]
huir	:	flee[flii]	fled[fled]	fled[fled]
volar	:	fly[flai]	flew[flu]	flown[floun]
olvidar	:	forget[forget]	forgot[forgot]	forgotten[forgotn]
perdonar	:	forgive[forgiv]	forgave[forgeiv]	forgiven[forgivn]
abandonar	:	forsake[forseik]	forsook[forsuk]	forsaken [forseikn]
congelar	:	freeze[friisz]	froze[frousz]	frozen[frouszn]
tener, obtener	:	get[get]	got[got]	got/gotten [got/gotn]
dar	:	give[giv]	gave[geiv]	given[givn]
ir	:	go[gou]	went [wuent]	gone[gon]
moler	:	grind[graind]	ground[graund]	ground[graund]
crecer	:	grow[grou]	grew[gru]	grown[groun]
colgar	:	hang[hang]	hung[haang]	hung[haang]
tener	:	have[hav]	had[had]	had[had]
oír	:	hear[hir]	heard[herd]	heard[herd]
esconderse	:	hide[haid]	hid[hid]	hidden[hidn]
golpear	:	hit[hit]	hit[hit]	hit[hit]
tener, mantener	:	hold[hold]	held[held]	held[held]
herir, doler	:	hurt[hert]	hurt[hert]	hurt[hert]
guardar	:	keep[kip]	kept[kept]	kept[kept]
arrodillarse	:	kneel[nil]	knelt[nelt]	knelt[nelt]
saber	:	know[nou]	knew[niu]	known[noun]
encabezar	:	lead[liid]	led[led]	led[led]
aprender	:	learn[lern]	learnt[lernt]	learnt[lernt]
dejar	:	leave[liv]	left[left]	left[left]
prestar	:	lend[lend]	lent[lent]	lent[lent]
dejar	:	let[let]	let[let]	let[let]
yacer	:	lie[lai]	lay[lei]	lain[lein]
perder	:	lose[lus]	lost[lost]	lost[lost]
hacer	:	make[meik]	made[meid]	made[meid]
significar	:	mean[min]	meant[ment]	meant[ment]
conocer, encontrar	:	meet[mit]	met[met]	met[met]
pagar	:	pay[pei]	paid[peid]	paid[peid]
poner	:	put[put]	put[put]	put[put]
abandonar	:	quit[kuit]	quit[kuit]	quit[kuit]
leer	:	read[rid]	read[red]	read[red]
montar, ir	:	ride[raid]	rode[roud]	ridden[ridn]
llamar por teléfono	:	ring[ring]	rang[rang]	rung[rang]
elevar	:	rise[rais]	rose[rous]	risen[risn]
correr	:	run[raan]	ran[ran]	run[raan]
decir	:	say[sei]	said[sed]	said[sed]
ver	:	see[si]	saw[so]	seen[sin]
vender	:	sell[sel]	sold[sold]	sold[sold]
enviar	:	send[send]	sent[sent]	sent[sent]
fijar	:	set[set]	set[set]	set[set]
coser	:	sew[sou]	sewed[soud]	sewn [soun]
sacudir	:	shake[sheik]	shook[shuk]	shaken[sheikn]
brillar	:	shine[shain]	shone[shoun]	shone[shoun]
disparar	:	shoot[shut]	shot[shot]	shot[shot]
mostrar	:	show[shou]	showed[shoud]	shown[shoun]
encoger	:	shrink[shrink]	shrank[shrank]	shrunk[shraank]
cerrar	:	shut[shaat]	shut[shaat]	shut[shaat]
cantar	:	sing[sing]	sang[sang]	sung[saang]
hundir	:	sink[sink]	sank[sank]	sunk[saank]
sentarse	:	sit[sit]	sat[sat]	sat[sat]
dormir	:	sleep[sliip]	slept[slept]	slept[slept]
deslizar	:	slide[sslaid]	slid[sslid]	slid[sslid]
sembrar	:	sow[sou]	sowed[soud]	sown[soun]
hablar	:	speak[sspik]	spoke[sspouk]	spoken[sspokn]
deletrear	:	spel[sspel]l	spelt[sspelt]	spelt[sspelt]
gastar	:	spend[sspend]	spent[sspent]	spent[sspent]
derramar	:	spill[sspil]	spilt[sspilt]	spilt[ssplt]
dividir	:	split[sspli]	split[sspli]	split[sspli]
estropear	:	spoil[sspoil]	spoilt[sspoilt]	spoilt[sspoilt]
extenderse	:	spread[sspred]	spread[sspred]	spread[sspred]
estar de pie	:	stand[sstand]	stood[sstud]	stood[sstud]
robar	:	steal[sstil]	stole[sstoul]	stolen[stouln]
picar	:	sting[ssting]	stung[sstaang]	stung[sstaang]
apestar	:	stink[sstink]	stank [sstank]	stunk[sstaank]
golpear	:	strike[straik]	struck [straak]	struck[straak]
jurar	:	swear[suer]	swore[suor]	sworn[suorn]
barrer	:	sweep[suip]	swept[suept]	swept[suept]
nadar	:	swim[suim]	swam[suam]	swum[suaan]
tomar	:	take[teik]	took[tuk]	taken[teikn]
enseñar	:	teach[tiich]	taught[tot]	taught[tot]
romper	:	tear[tiir]	tore[tor]	torn[torn]
decir	:	tell[tel]	told[told]	told[told]
pensar	:	think[zink]	thought[zot]	thought[zot]
lanzar	:	throw[zrou]	threw[zriu]	thrown[zroun]
pisar	:	tread[tred]	trode[troud]	trodden[trodn]
despertarse	:	wake[güeik]	woke[wuok]	woken[wuokn]
llevar puesto	:	wear[güer]	wore[wuor]	worn[wuorn]
tejer	:	weave[güiv]	wove[wuov]	woven[wouvn]
llorar	:	weep[wuip]	wept[wuept]	wept[wuept]
ganar	:	win[wuin]	won[wuon]	won[wuon]
retorcer	:	wring[ring]	wrung[raang]	wrung[raang]
escribir	:	write[rait]	wrote[rout]	written[ritn]
